English,Lunda,Grammar_Notes,Noun_Class,Verb_Extensions,Agreement_Pattern
I’m tired,Ami nazeyi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
I’m tired,Ami nazey mudimu wasweja,Basic phrase,Class 1 (mu-),,Subject agreement wu-
I’m tired and I am hungry,Nazeyi naŋzala,Basic phrase,Class 1 (mu-),,Subject agreement wu-
I’m going,Ami hinukwiya,Basic phrase,Class 1 (mu-),,Subject agreement wu-
What’s the time now?,Mpinjini katataka?,Question,Class 1 (mu-),,Subject agreement wu-
Where?,Kudihi?,Question,Class 1 (mu-),,Subject agreement wu-
Again,Cheŋi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Quietly,Chovu,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Carefully,Chov chovu,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Quickly,Sway,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Quickly,Swayi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Hurry,Nyakalaŋa,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Here,Kunu,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Over there,Kuna,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Not yet,Kanda,Basic phrase,Class 1 (mu-),,Subject agreement wu-
There are none Not here,Kunu kwosi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Me?,Ami?,Question,Class 1 (mu-),,Subject agreement wu-
You,Eyi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
You,Enu,Basic phrase,Class 1 (mu-),,Subject agreement wu-
He,Yena,Basic phrase,Class 1 (mu-),,Subject agreement wu-
She,Yena,Basic phrase,Class 1 (mu-),,Subject agreement wu-
We,Etu,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Them,Wena,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Mother,Mama,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Brother,Yaya,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Sister,Muhela,Basic phrase,Class 1 (mu-),,Subject agreement wu-
My sister,Muhel ami,Basic phrase,Class 1 (mu-),,Subject agreement wu-
My younger sibling,Mwanyik ami,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Grandparent,Nkaka,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Grandmother,Nkaka wamumbanda,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Grandfather,Nkaka weyala,Basic phrase,Class 1 (mu-),,Subject agreement wu-
The sister of my mother,Muhela a mama yami,1st person possessive,Class 1 (mu-),,Possessive agreement wa-
Uncle,Mandumi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
My husband,Mfumwami,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Your husband,Mfumweyi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
My wife,Ŋodami,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Your wife,Ŋodeyi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
My child,Mwanami,Basic phrase,Class 1 (mu-),,Subject agreement wu-
My son,Mwanami weyala,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Your son,Mwaneyi weyala,Basic phrase,Class 1 (mu-),,Subject agreement wu-
My daughter,Mwanami wamubanda,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Your daughter,Mwaneyi wamubanda,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Your mother-in-law,Mukuweyi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Father-in-law,Mukuweyi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Babe,Mukeki,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Are you married?,Eyi wasumbuka dehi?,Question,Class 1 (mu-),,Subject agreement wu-
Morning,Budidi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Morning,Budidi yayeni,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Morning,Ntetamena,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Midday,Mwaana,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Afternoon,Melela,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Light,Chejeji,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Dark,Mwidima,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Night,Wufuku,Imperative,Class 1 (mu-),,Subject agreement wu- (imperative)
Market,Chisankanyi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
I would like,Nukukeŋa,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Do you have?,Mudi ŋ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Bring me,Wunleteli,Basic phrase,Class 1 (mu-),,Subject agreement wu-
What is the price?,Hiwuseyanyi?,Question,Class 1 (mu-),,Subject agreement wu-
That is too expensive,Wuseya wunasweji,Basic phrase,Class 1 (mu-),,Subject agreement wu-
I want a cheaper price,Ami nakeŋi wawuseya wakeha wantesha,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Food,Kudya,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Nshima,Nshima ya makamba,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Ball of nshima to fit in your mouth,Musa,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Nshima made into a spoon,Kambwimba,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Fruit,Nyikabu,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Vegetable,Madaji,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Bread,Mbolu,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Flour,Wuŋa wa flour,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Yeast,Yeast,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Meat,Mbiji,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Oil,Manji a saladi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Milk,Mayeli,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Full cream milk,Mayeli a manji,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Skimmed milk,Mayeli a menji,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Water,Menji,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Egg,Iteta,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Eggs,Mateta,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Sugar,Sugar,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Tea,Tea,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Coffee,Coffee,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Beans,Makunde anzeŋa,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Beans,Makunde a nyi zanza,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Onion,Sapoli,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Tomatoes,Macha macha,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Cucumber,Cucumber,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Salad,Saladi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Avocado,Katopear,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Aubergine,Ndimwa ye neni,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Potato,Ntamba yakapa,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Sweet potato,Ntamba ya Lunda,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Big sweet potato,Chingovwa,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Cabbage,Cabbage,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Banana,Makonde a kashinda,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Pineapple,Makonde pineapple,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Mango,Mbuma,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Orange,Orange,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Watermelon,Sawa sawa,Basic phrase,Class 1 (mu-),,Subject agreement wu-
That’s delicious,Oyu yinawahi chikupu,Basic phrase,Class 1 (mu-),,Subject agreement wu-
How old are you?,Wudi nanyaka yiŋahi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
What do you like doing?,Enu mwakeŋana kwiladi?,Question,Class 1 (mu-),,Subject agreement wu-
Do you like playing with the ball?,Mwakeŋa kuhema na ngunja?,Question,Class 1 (mu-),,Subject agreement wu-
I like playing with the ball,Nakeŋi kuhema na nguja,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Do you like riding a bike?,Mwakeŋa kwenda hankinga?,Question,Class 1 (mu-),,Subject agreement wu-
Ball,Ngunja,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Sweet,Ma sweetie,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Bicycle,Inkinga,Basic phrase,Class 1 (mu-),,Subject agreement wu-
What’s the matter?,Kunasoŋidi?,Question,Class 1 (mu-),,Subject agreement wu-
Why are you sad?,Wuna ŋeŋi idi?,Question,Class 1 (mu-),,Subject agreement wu-
Why are you crying?,Wudi nakudiladi?,Question,Class 1 (mu-),,Subject agreement wu-
Is this your sister?,Iwu himuheliyi?,Question,Class 1 (mu-),,Subject agreement wu-
Is this your brother?,Iwu himanakweyi?,Question,Class 1 (mu-),,Subject agreement wu-
Is this your friend?,Iwu hibwambu deyi?,Question,Class 1 (mu-),,Subject agreement wu-
Do you like stories?,Enu mwakeŋa kutiya yishimu?,Question,Class 1 (mu-),,Subject agreement wu-
It’s forbidden,Chinjila,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Go to sleep,Kamaku tulu,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Smile,Sehaku,Imperative,Class 1 (mu-),,Subject agreement wu- (imperative)
Sit down,Ashakami,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Blow your nose,Pembaku yipwembu yeyi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Be quiet,Mwenaku,Imperative,Class 1 (mu-),,Subject agreement wu- (imperative)
Have you heard,Wuna chitiyi?,Question,Class 1 (mu-),,Subject agreement wu-
I will come back,Nukufunta,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Could I have a cup of tea?,Nakeŋi tea?,Question,Class 1 (mu-),,Subject agreement wu-
Could you bake some bread?,Atutruŋili bread,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Could you do the laundry?,Lelu munatwesi ku kosa mahina?,Question,Class 1 (mu-),,Subject agreement wu-
To dust,Totomona,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Sweep inside,Kombenu munu,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Wash them,Kosen,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Iron,Kisa ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Could you buy some cabbage at the market?,Atulandili cabbage ku market?,Question,Class 1 (mu-),,Subject agreement wu-
Chair,Chitwamu,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Table,Mesa ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Bed,Kadidi ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Door,Chenzelu,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Floor,Heseki ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Window,Njanena ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Cup,Lupasa ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Bowl,Mbashila ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Bowl,Cheŋa chakunama ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Plate,Cheŋa ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Knife,Mpoku ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Sharp knife,Mpoku ya,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Spoon,Katuwa ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Head,Mutu ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Hair,Insuki,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Eye,Mesu,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Nose,Muzulu,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Mouth,Kanwa,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Lip,Nyivumbu,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Teeth,Mazewu,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Ear,Itu ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Ears,Matu ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Neck,Nshiŋu ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Throat,Mudiwu ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Collarbone,Mukambu wachikasa ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Chest,Ntulu ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Chest,Ntrulu ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Back,Nyima ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Shoulder,Chifwiji ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Shoulders,Mafwiji ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Arm,Chikasa ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Arms,Makasa ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Wrist,Munkuku ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Fingers,Nyinu ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Toes,Nyinu ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Abdomen,Ivumu ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Liver,Muchima ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Leg,Mwendu ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Knee,Inuŋu ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Ankle,Kapokosu ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Foot,Idatilu ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Feet,Maditilu ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Skin,Ikowa ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Bottom,Mahanda ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Penis,Wuyala windi ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Breast,Mayeli ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Womb,Chisemenu ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Placenta,Ŋoji ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Can I examine you?,Nakeŋi kutala mujimba weyi ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Point to where the pain is worst,Inyikaku hanasweji kuyeŋa ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Do you have pain here?,Hanu hadihi ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
I want to listen to your chest,Nakeŋi kupima muntulu yeyi ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Lie on your back,Kama kankanta ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Sit up,Shakamakuku ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Take deep breaths through your mouth,Onaku mukanwakeyi ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Keep your pants on,Bayi ku subula kaputula ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Take off your pants,Subulenu kaputula ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
What is your sickness?,Kukata kweyi hiyika ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
What is your biggest problem?,Kukata kweyi kweneni hi chumanyi ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Where is the pain?,Kuyeŋa kudi hadihi ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Where is your pain the worst?,Kuyeŋa kweyi kunaswejihadihi ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Can you point to the pain?,Inyikaku hanasweji kuyeŋa ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Does the pain come and go?,Kuyeŋa kwelaŋa hichi kwinza hichukuleka ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
How long have you felt the pain?,Wunayitiyi kuyeŋa iku mafuku aŋahi ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Weeks,Nyilungu ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Months,Tukweji ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
One week,Mulungu wumu ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Two weeks,Nyilungu yiyedi ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Month,Kakweji ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Two months,Tukweji tuyedi ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
One year,Mwaka wumu,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Two years,Nyaka yiyedi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
How are you doing?,Mudi ŋahi?,Question,Class 1 (mu-),,Subject agreement wu-
What brings on the pain?,Chumanyi cha leteshaŋa kuyeŋa?,Question,Class 1 (mu-),,Subject agreement wu-
What makes it better?,Chumanyi chakeheshaŋa?,Question,Class 1 (mu-),,Subject agreement wu-
Walking,Kwenda heseki,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Lying down,Hakukambama,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Eating,Hakuda,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Moving bowels,Hakwiya ku chimbuzu,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Are you opening your bowels?,Wudi na kuhitisha chachiwahi?,Question,Class 1 (mu-),,Subject agreement wu-
Are you passing wind?,Wudi na kunyinya munsu?,Question,Class 1 (mu-),,Subject agreement wu-
How many times a day do you vomit?,Wudi na kusanza kaŋahi hefuku?,Question,Class 1 (mu-),,Subject agreement wu-
Do you vomit after eating?,Wudi na kusanza hakufuma ha kuda?,Question,Class 1 (mu-),,Subject agreement wu-
Is there blood in your vomit?,Mudi naku mwekana mashi mu masanjilu eyi?,Question,Class 1 (mu-),,Subject agreement wu-
Is there blood in your stool?,Wudi na kuhitisha mashi?,Question,Class 1 (mu-),,Subject agreement wu-
Where is it swollen?,Hana nani hadihi?,Question,Class 1 (mu-),,Subject agreement wu-
Have you got a lump?,Wunamoni ifunvu?,Question,Class 1 (mu-),,Subject agreement wu-
Can I see it?,Tinintal?,Question,Class 1 (mu-),,Subject agreement wu-
Can I see it?,Nleji?,Question,Class 1 (mu-),,Subject agreement wu-
Pills,Mabuji,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Daily,Hefuku hefuku,Imperative,Class 1 (mu-),,Subject agreement wu- (imperative)
How many times a day?,Kaŋahi hefuku?,Question,Class 1 (mu-),,Subject agreement wu-
Alcohol,Walwa ,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Have you had an operation before?,Eyi aku ladikili cheŋi?,Question,Class 1 (mu-),,Subject agreement wu-
Palpitations,Muchima wudi na kweta muntulu,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Chest tightness,Muntulu munajiki,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Tuberculosis,Musoŋu wa TB,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Night sweats,Kusulwila nawufuku,Imperative,Class 1 (mu-),,Subject agreement wu- (imperative)
Are you failing to breathe well?,Wudi na kukaŋanya kwona chachiwahi?,Question,Class 1 (mu-),,Subject agreement wu-
How long have you been ill?,Wunakati mafuku aŋahi?,Question,Class 1 (mu-),,Subject agreement wu-
Have you got a cough?,Wudi na kakohu?,Question,Class 1 (mu-),,Subject agreement wu-
For how long?,Mafuku aŋahi?,Question,Class 1 (mu-),,Subject agreement wu-
Is the cough productive?,Hakukohola wudi na ku fwijadi?,Question,Class 1 (mu-),,Subject agreement wu-
Do you know anyone with TB?,Eyi wuneluki muntu mwijiku deyi wakata dehi TB?,Question,Class 1 (mu-),,Subject agreement wu-
Are you losing weight?,Eyi wudi nakumona mujimba weyi nakukosa mafukwanu?,Question,Class 1 (mu-),,Subject agreement wu-
Are you a bit better?,Mudiku dihu?,Question,Class 1 (mu-),,Subject agreement wu-
You need an operation,Eyi chiŋa aku ladiki,Basic phrase,Class 1 (mu-),,Subject agreement wu-
You have TB,Eyi wakata TB,Basic phrase,Class 1 (mu-),,Subject agreement wu-
You have malaria,Eyi wakata malaria,Basic phrase,Class 1 (mu-),,Subject agreement wu-
We can treat you,Etu tunatwesi ku kuuka kukata kweyi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
I’m sorry to tell you that he has died,Wushona mwan Muloŋa yena nafwidehi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
It is broken,Chinafwi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Do you have problems with your vision?,Eyi wamonaŋa chachiwahi?,Question,Class 1 (mu-),,Subject agreement wu-
Do you have a headache?,Mutu wudi nakukata?,Question,Class 1 (mu-),,Subject agreement wu-
I’m sorry to tell you that we cannot cure your illness,Chinakali ilaŋa hitunatwesi kukuuka musoŋu weyuku?,Question,Class 1 (mu-),,Subject agreement wu-
History,Kuyeŋa,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Pain,Kuyeŋa,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Sickness,Kukata,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Vomiting,Kusanza,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Nausea,Zemba kumuchima,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Urine,Masu,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Urine,Mashru,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Blood,Mashi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Pus,Mashina,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Rash,Chisalu,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Cough,Kutata,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Diarrhoea,Kuhitisha,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Cold,Mashika,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Cold,Kututa,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Scab,Chibata,Basic phrase,Class 1 (mu-),,Subject agreement wu-
To pass water,Kuzowesha,Basic phrase,Class 1 (mu-),,Subject agreement wu-
To pass stool,Kuhitisha,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Wound,Chitu,Basic phrase,Class 1 (mu-),,Subject agreement wu-
A burn,Hanahi aha,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Abscess,Ihuti,Basic phrase,Class 1 (mu-),,Subject agreement wu-
Infection in your sore,Musoŋu mu chilonda cheyi,Basic phrase,Class 1 (mu-),,Subject agreement wu-
General anaesthetic,Anamukamiki tulu haŋsaŋu yakumuladika,Basic phrase,Class 1 (mu-),,Subject agreement wu-
This injection will send you to sleep,Iyi ndoŋu yikukuletisha tulu,Basic phrase,Class 1 (mu-),,Subject agreement wu-
